"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round"
1979,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,6.1518,6,6,67,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5.8762,7,7,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8.6484,21,21,0,62,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,8.3684,13.5,27,5,133,0,62,2,0,0,0,0,0,0,0,0,0,0,0,0
2025,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,8.1262,29,29,3,97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2027,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
